episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_001,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,8,19,discovered_hard,4,9,4,0.4444444444444444,1.0,
pl_006,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,5,20,discovered_hard,4,5,4,0.8,1.0,
pl_008,personal_life,2,commute_method,bus,Walking,Bus,Bus,True,True,True,True,True,7,18,discovered_hard,5,7,5,0.7142857142857143,1.0,
pl_009,personal_life,2,fitness_facility,Crysthene Pool,Zorathel Peak Gym,Zorathel Peak Gym,Crysthene Pool,True,False,True,False,True,4,19,discovered_hard,3,4,3,0.75,1.0,
pl_011,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,6,15,discovered_hard,3,6,3,0.5,1.0,
pl_013,personal_life,2,commute_duration,10 min,40 min,40 min,10 min,True,False,True,False,True,8,17,discovered_hard,5,8,5,0.625,1.0,
pl_014,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,6,17,discovered_hard,4,6,4,0.6666666666666666,1.0,
pl_021,personal_life,2,fitness_facility,Velthari Studio,Pyravar CrossFit,Pyravar CrossFit,Velthari Studio,True,False,True,False,True,6,17,discovered_hard,5,6,5,0.8333333333333334,1.0,
pl_023,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,6,19,discovered_hard,4,7,4,0.5714285714285714,1.0,
pl_025,personal_life,2,commute_method,bus,Walking,Walking,Bus,True,False,True,False,True,7,16,discovered_hard,5,7,5,0.7142857142857143,1.0,
pl_028,personal_life,2,commute_duration,20 min,10 min,10 min,20 min,True,False,True,False,True,8,17,discovered_hard,5,8,5,0.625,1.0,
pl_030,personal_life,2,commute_duration,10 min,10 min,10 min,Around 10 min,True,True,True,True,True,5,19,discovered_hard,4,5,4,0.8,1.0,
pl_031,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,5,15,discovered_hard,4,5,4,0.8,1.0,
pl_033,personal_life,2,favorite_restaurant,Velmara Taqueria,Lorwen & Sage,Lorwen & Sage,Velmara Taqueria,True,False,True,False,True,6,17,discovered_hard,5,6,5,0.8333333333333334,1.0,
pl_034,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,3,16,discovered_hard,3,3,3,1.0,1.0,
pl_040,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,5,17,discovered_hard,3,5,3,0.6,1.0,
pl_041,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,4,15,discovered_hard,3,5,3,0.6,1.0,
pl_042,personal_life,2,fitness_facility,none,None,None,None,False,True,True,False,False,4,17,discovered_hard,3,5,3,0.6,1.0,
