episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_001,personal_life,1,medication,multivitamin,Quelmithin,Quelmithin,UNDERSTOOD,True,False,False,False,False,8,19,discovered_tiered,4,9,4,0.4444444444444444,1.0,
pl_002,personal_life,1,commute_duration,10 min,1.5 hours,1.5 hours,Not provided.,True,False,False,False,False,4,20,discovered_tiered,2,4,2,0.5,1.0,
pl_003,personal_life,1,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,2,20,discovered_tiered,2,2,2,1.0,1.0,
pl_004,personal_life,1,travel_plan,island getaway,No travel planned,No travel planned.,Memorial service,True,False,False,False,False,2,17,discovered_tiered,2,2,2,1.0,1.0,
pl_005,personal_life,1,financial_goal,saving for kids' education fund,Paying off credit card debt,Paying off credit card debt,Energy savings,True,False,False,False,False,4,21,discovered_tiered,2,4,2,0.5,1.0,
pl_006,personal_life,1,regular_appointment,physical therapy (2x/week),"Physical therapy (2x/week), dermatologist (monthly)","Physical therapy (2x/week), dermatologist (monthly)",None mentioned.,True,True,False,True,False,9,20,discovered_tiered,4,9,4,0.4444444444444444,1.0,
pl_007,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","therapy (weekly), dermatologist (monthly)",None,True,True,False,True,False,4,21,discovered_tiered,2,4,2,0.5,1.0,
pl_008,personal_life,1,work_project,marketing campaign,Backend migration,Backend migration,Interactive dinosaur encyclopaedia.,True,False,False,False,False,9,18,discovered_tiered,5,9,5,0.5555555555555556,1.0,
pl_009,personal_life,1,dietary_restriction,no alcohol,Low-sodium,Low-sodium,None,True,False,False,False,False,6,19,discovered_tiered,3,6,3,0.5,1.0,
pl_010,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Mountain ski trip,Mountain ski trip,Zynthera Bay beach trip,True,False,True,False,True,2,18,discovered_tiered,2,2,2,1.0,1.0,
pl_011,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","Therapy (weekly), dermatologist (monthly)",None mentioned.,True,True,False,True,False,7,15,discovered_tiered,3,7,3,0.42857142857142855,1.0,
pl_012,personal_life,1,living_arrangement,with partner,I live alone.,I live alone.,Not specified.,True,False,False,False,False,5,18,discovered_tiered,2,5,2,0.4,1.0,
pl_013,personal_life,1,work_schedule,4-day work week,4-day work week,4-day work week,Not mentioned.,False,True,False,False,False,12,17,discovered_tiered,5,12,5,0.4166666666666667,1.0,
pl_014,personal_life,1,regular_appointment,dermatologist (monthly),"Dermatologist (monthly), Dentist (every 6 months)","Dermatologist (monthly), dentist (every 6 months)",None,True,True,False,True,False,8,17,discovered_tiered,4,8,4,0.5,1.0,
pl_015,personal_life,1,living_arrangement,with sibling,Parents,Parents,Emma,True,False,False,False,False,3,16,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_016,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Cross-country road trip,Cross-country road trip,Pacific Coast Highway trip,True,False,False,False,False,2,17,discovered_tiered,2,2,2,1.0,1.0,
pl_017,personal_life,1,regular_appointment,chiropractor (biweekly),"Chiropractor (biweekly), Physical therapy (2x/week)","Chiropractor (biweekly), Physical therapy (2x/week)",N/A,True,True,False,True,False,3,22,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_018,personal_life,1,commute_method,commuter rail,Walking,Walking,Commuter rail,True,False,True,False,True,2,18,discovered_tiered,2,3,2,0.6666666666666666,1.0,
pl_019,personal_life,1,financial_goal,saving for wedding,Maxing out retirement fund,Maxing out retirement fund,Not mentioned.,True,False,False,False,False,6,20,discovered_tiered,2,6,2,0.3333333333333333,1.0,
pl_020,personal_life,1,commute_duration,30 min,20 min,20 min,Not mentioned.,True,False,False,False,False,4,17,discovered_tiered,2,4,2,0.5,1.0,
