episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,error
pl_001,personal_life,1,medication,multivitamin,Quelmithin,Quelmithin,Multivitamin,True,False,True,False,True,4,19,
pl_002,personal_life,1,commute_duration,10 min,1.5 hours,1.5 hours,10 min,True,False,True,False,True,2,20,
pl_003,personal_life,1,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,2,20,
pl_004,personal_life,1,travel_plan,island getaway,Wine country getaway.,A road trip to wine country.,A road trip to wine country destinations like Paso Robles and Napa Valley.,False,False,False,False,False,2,17,
pl_005,personal_life,1,financial_goal,saving for kids' education fund,Paying off credit card debt,Paying off credit card debt,Saving for kids' education fund,True,False,True,False,True,2,21,
pl_006,personal_life,1,regular_appointment,physical therapy (2x/week),"Physical therapy (2x/week), dermatologist (monthly).","Physical therapy (2x/week), dermatologist (monthly).",Physical therapy (2x/week),True,True,True,True,True,4,20,
pl_007,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), Dermatologist (monthly).","Therapy (weekly), dermatologist (monthly).","Therapy (weekly), Physical therapy (2x/week)",True,True,True,True,True,2,21,
pl_008,personal_life,1,work_project,marketing campaign,Backend migration,Backend migration,Interactive touchscreen dinosaur encyclopaedia.,True,False,False,False,False,5,18,
pl_009,personal_life,1,dietary_restriction,no alcohol,"Low-sodium, no alcohol","No alcohol, low-sodium.",No alcohol,True,True,True,True,True,3,19,
pl_010,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Mountain ski trip,Mountain ski trip,Pacific Coast Highway trip,True,False,False,False,False,2,18,
pl_011,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), Physical therapy (2x/week), Dermatologist (monthly)","Dermatologist (monthly), therapy (weekly)",Therapy (weekly),True,True,True,True,True,3,15,
pl_012,personal_life,1,living_arrangement,with partner,Alone,Alone,Partner,True,False,False,False,False,2,18,
pl_013,personal_life,1,work_schedule,4-day work week,4-day work week,4-day work week,4-day work week,False,True,True,False,False,5,17,
pl_014,personal_life,1,regular_appointment,dermatologist (monthly),Dentist (every 6 months),Dentist (every 6 months),therapy (weekly),True,False,False,False,False,4,17,
pl_015,personal_life,1,living_arrangement,with sibling,Partner,Partner,Partner,False,False,False,False,False,2,16,
pl_016,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Zynthera Bay beach trip,Zynthera Bay beach trip,Zynthera Bay beach trip (1 week),False,False,True,False,False,2,17,
pl_017,personal_life,1,regular_appointment,chiropractor (biweekly),Physical therapy (2x/week),Physical therapy (2x/week),"Chiropractor, therapy, dermatologist, physical therapy.",True,False,False,False,False,2,22,
pl_018,personal_life,1,commute_method,commuter rail,Walking,Walking,Commuter rail or bus,True,False,True,False,True,2,18,
pl_019,personal_life,1,financial_goal,saving for wedding,Maxing out retirement fund,Maxing out retirement fund,Saving for kids' education fund,True,False,False,False,False,2,20,
pl_020,personal_life,1,commute_duration,30 min,20 minutes,20 min,10 min or 30 min,True,False,True,False,True,2,17,
pl_021,personal_life,1,work_schedule,hybrid (3 office + 2 remote),4-day work week,4-day work week,4-day work week,False,False,False,False,False,5,17,
pl_022,personal_life,1,financial_goal,saving for wedding,Saving for kids' education fund,Kids' education fund,Saving for wedding,True,False,True,False,True,2,19,
pl_023,personal_life,1,sleep_pattern,irregular,Midnight-8am,Midnight-8am,Irregular,True,False,True,False,True,4,19,
pl_024,personal_life,1,housing_type,townhouse,Townhouse,House,Townhouse,False,False,True,False,False,2,21,
pl_025,personal_life,1,job_title,staff engineer,Marketing lead,marketing lead,staff engineer,True,False,True,False,True,5,16,
pl_026,personal_life,1,commute_method,subway,Bike,Bike,Bus,True,False,False,False,False,2,18,
pl_027,personal_life,1,commute_duration,15 min,10 min,"About 10 to 30 minutes, depending on changes.",10 min,True,False,False,False,False,2,14,
pl_028,personal_life,1,job_title,designer,staff engineer,Staff engineer,designer,True,False,True,False,True,5,17,
pl_029,personal_life,1,work_schedule,hybrid (3 office + 2 remote),10-to-7 fixed,10-to-7 fixed,4-day work week,True,False,False,False,False,2,19,
pl_030,personal_life,1,work_schedule,9-to-5 fixed,Shift work (day),Shift work (day),4-day work week,True,False,False,False,False,4,19,
pl_031,personal_life,1,regular_appointment,dentist (every 6 months),"Chiropractor, therapy","Chiropractor, therapy","Chiropractor (biweekly), therapy (weekly)",False,False,False,False,False,4,15,
pl_032,personal_life,1,family_event,parent's birthday,Family dinner,Baby shower,Niece's high school graduation gathering,False,False,False,False,False,2,20,
pl_033,personal_life,1,insurance,employer-provided health plan,Dental + vision bundle,Dental + vision bundle,Homeowners insurance,True,False,False,False,False,5,17,
pl_034,personal_life,1,exercise_routine,weight training 4x/week,Walking daily,Walking daily,Walking daily,False,False,False,False,False,3,16,
pl_035,personal_life,1,housing_type,two-bedroom apartment,Townhouse,House,House,False,False,False,False,False,2,19,
pl_036,personal_life,1,commute_duration,10 min,30 min,30 min,10 min,True,False,True,False,True,2,21,
pl_037,personal_life,1,family_event,none currently,Child's school event,Child's school event,Sister's 30th birthday party,True,False,False,False,False,2,18,
pl_038,personal_life,1,travel_plan,island getaway,Business trip to LA.,Business trip to LA.,Zynthera Bay beach trip,False,False,False,False,False,2,20,
pl_039,personal_life,1,skill_acquisition,Japanese,Spanish,Spanish,Japanese,True,False,True,False,True,2,16,
pl_040,personal_life,1,dietary_restriction,nut-free,Dairy-free,Dairy-free,"No alcohol, nut-free",True,False,True,False,True,3,17,
pl_041,personal_life,1,medication,Dyntheral,Korathril,Korathril,Multivitamin,True,False,False,False,False,3,15,
pl_042,personal_life,1,exercise_routine,swimming 2x/week,Walking daily,Walking daily,none,True,False,False,False,False,3,17,
pl_043,personal_life,1,travel_plan,island getaway,Business trip to LA.,No travel planned.,Zynthera Bay beach trip,False,False,False,False,False,2,19,
pl_044,personal_life,1,sleep_pattern,1am-9am,Irregular,Irregular,Irregular,False,False,False,False,False,3,17,
pl_045,personal_life,1,travel_plan,no travel planned,Mountain ski trip,Mountain ski trip,Zynthera Bay beach trip,True,False,False,False,False,2,15,
pl_046,personal_life,1,dietary_restriction,nut-free,Dairy-free,Dairy-free,"No alcohol, nut-free",True,False,True,False,True,4,19,
pl_047,personal_life,1,job_title,product manager,designer,designer,designer,True,False,False,False,False,4,18,
pl_048,personal_life,1,dietary_restriction,no processed food,Low-sugar,Low-sugar,"No alcohol, nut-free, no processed food, pre-diabetes.",True,False,True,False,True,4,15,
pl_049,personal_life,1,insurance,dental + vision bundle,Employer + supplemental insurance,Employer + supplemental,Employer-provided health plan,True,False,False,False,False,5,19,
pl_050,personal_life,1,fitness_facility,Zorathel Peak Gym,Pyravar CrossFit,Pyravar CrossFit,Kaelstrom Fitness,True,False,False,False,False,2,16,
sw_001,software_project,1,build_tool,Quorix Forge,Zelthra Pack,Zelthra Pack,Quorix Forge,True,False,True,False,True,3,18,
sw_002,software_project,1,ci_config,korinth-deploy.yaml,orinthal-build.yml,orinthal-build.yml,korinth-deploy.yaml,True,False,True,False,True,5,12,
sw_003,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,sink.orinthal.dev/aurora,True,False,True,False,True,4,17,
sw_004,software_project,1,code_reviewer,Seoyun Choi,David Lee,David Lee,Seoyun Choi,True,False,True,False,True,2,16,
