episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,error
pl_001,personal_life,1,medication,multivitamin,Quelmithin,Quelmithin,multivitamin,True,False,True,False,True,4,19,
pl_002,personal_life,1,commute_duration,10 min,1.5 hours,1.5 hours,10 min,True,False,True,False,True,2,20,
pl_003,personal_life,1,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,2,20,
pl_004,personal_life,1,travel_plan,island getaway,No travel planned,No travel planned.,Memorial service for grandmother.,True,False,False,False,False,2,17,
pl_005,personal_life,1,financial_goal,saving for kids' education fund,Paying off credit card debt,Paying off credit card debt.,Saving for kids' education fund,True,False,True,False,True,2,21,
pl_006,personal_life,1,regular_appointment,physical therapy (2x/week),"Physical therapy (2x/week), dermatologist (monthly)","Physical therapy (2x/week), dermatologist (monthly)",Physical therapy (2x/week),True,True,True,True,True,4,20,
pl_007,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","Therapy (weekly), dermatologist (monthly)",therapy,True,True,False,True,False,2,21,
pl_008,personal_life,1,work_project,marketing campaign,Backend migration,Backend migration.,Interactive dinosaur encyclopaedia.,True,False,False,False,False,5,18,
pl_009,personal_life,1,dietary_restriction,no alcohol,Low-sodium.,Low-sodium,No alcohol,True,False,True,False,True,3,19,
pl_010,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Mountain ski trip,Mountain ski trip,Zynthera Bay beach trip,True,False,False,False,False,2,18,
pl_011,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","Therapy (weekly), dermatologist (monthly)",therapy (weekly),True,True,True,True,True,3,15,
pl_012,personal_life,1,living_arrangement,with partner,I live alone.,I live alone.,Partner,True,False,False,False,False,2,18,
pl_013,personal_life,1,work_schedule,4-day work week,4-day work week,4-day work week,4-day work week,False,True,True,False,False,5,17,
pl_014,personal_life,1,regular_appointment,dermatologist (monthly),"Dermatologist (monthly), Dentist (every 6 months)","Dermatologist (monthly), Dentist (every 6 months)",Dermatologist (monthly),True,True,True,True,True,4,17,
pl_015,personal_life,1,living_arrangement,with sibling,Parents,Parents,Sibling,False,False,False,False,False,2,16,
pl_016,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Cross-country road trip,Cross-country road trip,Pacific Coast Highway trip,False,False,False,False,False,2,17,
pl_017,personal_life,1,regular_appointment,chiropractor (biweekly),"Chiropractor (biweekly), Physical therapy (2x/week)","Chiropractor (biweekly), physical therapy (2x/week)",Chiropractor (biweekly),True,True,True,True,True,2,22,
pl_018,personal_life,1,commute_method,commuter rail,Walking,Walking,Commuter rail,True,False,True,False,True,2,18,
pl_019,personal_life,1,financial_goal,saving for wedding,Maxing out retirement fund,Maxing out retirement fund,Saving for wedding,True,False,True,False,True,2,20,
pl_020,personal_life,1,commute_duration,30 min,20 min,20 min,30 min,True,False,True,False,True,2,17,
pl_021,personal_life,1,work_schedule,hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),False,True,True,False,False,5,17,
pl_022,personal_life,1,financial_goal,saving for wedding,Saving for kids' education fund,Saving for kids' education fund,Saving for wedding,True,False,True,False,True,2,19,
pl_023,personal_life,1,sleep_pattern,irregular,Midnight-8am,Midnight-8am,Irregular,True,False,True,False,True,4,19,
pl_024,personal_life,1,housing_type,townhouse,Condo,Condo,Townhouse,True,False,True,False,True,2,21,
pl_025,personal_life,1,job_title,staff engineer,Marketing Lead,Marketing Lead,staff engineer,True,False,True,False,True,5,16,
pl_026,personal_life,1,commute_method,subway,Bike,Bike,Not provided in the notes.,True,False,False,False,False,2,18,
pl_027,personal_life,1,commute_duration,15 min,10 min,10 min,15 min,True,False,True,False,True,2,14,
pl_028,personal_life,1,job_title,designer,staff engineer,staff engineer,Designer,True,False,True,False,True,5,17,
pl_029,personal_life,1,work_schedule,hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),Hybrid (3 office + 2 remote),False,True,True,False,False,2,19,
pl_030,personal_life,1,work_schedule,9-to-5 fixed,9-to-5 fixed,9-to-5 fixed,9-to-5 fixed,False,True,True,False,False,4,19,
pl_031,personal_life,1,regular_appointment,dentist (every 6 months),"Dentist, tutoring session","Dentist, tutoring session",Dentist (every 6 months),False,False,True,False,False,4,15,
pl_032,personal_life,1,family_event,parent's birthday,Baby shower,Baby shower,Family game night,True,False,False,False,False,2,20,
pl_033,personal_life,1,insurance,employer-provided health plan,Dental + vision bundle,Dental + vision bundle,employer-provided health plan,True,False,True,False,True,5,17,
pl_034,personal_life,1,exercise_routine,weight training 4x/week,Running 3x/week,Running 3x/week,Weight training 4x/week,True,False,True,False,True,3,16,
pl_035,personal_life,1,housing_type,two-bedroom apartment,Dormitory,Dormitory,Two-bedroom apartment,True,False,True,False,True,2,19,
pl_036,personal_life,1,commute_duration,10 min,30 min,30 min,10 min,True,False,True,False,True,2,21,
pl_037,personal_life,1,family_event,none currently,Child's school event,Child's school event,Sister's 30th birthday party,True,False,False,False,False,2,18,
pl_038,personal_life,1,travel_plan,island getaway,A cross-country road trip.,Cross-country road trip,"Group trip to Las Vegas, Orlando, or San Diego.",False,False,False,False,False,2,20,
pl_039,personal_life,1,skill_acquisition,Japanese,Spanish,Spanish,Japanese,True,False,True,False,True,2,16,
pl_040,personal_life,1,dietary_restriction,nut-free,Dairy-free,Dairy-free,Nut-free,True,False,True,False,True,3,17,
pl_041,personal_life,1,medication,Dyntheral,Korathril,Korathril,Dyntheral,True,False,True,False,True,3,15,
pl_042,personal_life,1,exercise_routine,swimming 2x/week,Walking daily,Walking daily,Swimming 2x/week,True,False,True,False,True,3,17,
pl_043,personal_life,1,travel_plan,island getaway,No travel planned.,No travel planned.,Trip to Bohol.,True,False,False,False,False,2,19,
pl_044,personal_life,1,sleep_pattern,1am-9am,1am-9am,1am-9am,1am-9am,False,True,True,False,False,3,17,
pl_045,personal_life,1,travel_plan,no travel planned,Mountain ski trip,Mountain ski trip,Vancouver,True,False,False,False,False,2,15,
pl_046,personal_life,1,dietary_restriction,nut-free,"Dairy-free, nut-free","Dairy-free, nut-free (if health condition changes)",Nut-free,True,True,True,True,True,4,19,
pl_047,personal_life,1,job_title,product manager,designer,designer,Product Manager,True,False,True,False,True,4,18,
pl_048,personal_life,1,dietary_restriction,no processed food,Low-sugar,Low-sugar,no processed food,True,False,True,False,True,4,15,
pl_049,personal_life,1,insurance,dental + vision bundle,Employer + supplemental,employer + supplemental,Dental + vision bundle,True,False,True,False,True,5,19,
pl_050,personal_life,1,fitness_facility,Zorathel Peak Gym,Zorathel Peak Gym,Zorathel Peak Gym,Zorathel Peak Gym,False,True,True,False,False,2,16,
sw_001,software_project,1,build_tool,Quorix Forge,Zelthra Pack,Zelthra Pack,Quorix Forge,True,False,True,False,True,3,18,
sw_002,software_project,1,ci_config,korinth-deploy.yaml,orinthal-build.yml,orinthal-build.yml,korinth-deploy.yaml,True,False,True,False,True,5,12,
sw_003,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,sink.orinthal.dev/aurora,True,False,True,False,True,4,17,
sw_004,software_project,1,code_reviewer,Seoyun Choi,David Lee,David Lee,Seoyun Choi,True,False,True,False,True,2,16,
