episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,raw_dialogue,n_superseded,error
pl_001,personal_life,2,fitness_facility,Velthari Studio,Crysthene Pool,Crysthene Pool,Velthari Studio,True,False,True,False,True,8,19,discovered_hard,4,24,4,0.20833333333333334,1.0,True,3,
pl_006,personal_life,2,fitness_facility,Kaelstrom Fitness,Zorathel Peak Gym,Zorathel Peak Gym,Kaelstrom Fitness,True,False,True,False,True,7,20,discovered_hard,4,13,4,0.3076923076923077,1.0,True,6,
pl_008,personal_life,2,commute_method,bus,Walking,walking,By bus,True,False,True,False,True,6,18,discovered_hard,5,16,5,0.375,1.0,True,1,
pl_009,personal_life,2,fitness_facility,Crysthene Pool,Zorathel Peak Gym,Zorathel Peak Gym,Crysthene Pool,True,False,True,False,True,7,19,discovered_hard,3,16,3,0.1875,1.0,True,3,
pl_011,personal_life,2,fitness_facility,Pyravar CrossFit,Swimming pool,Pyravar CrossFit,running club,False,True,False,False,False,3,15,discovered_hard,4,11,3,0.2727272727272727,0.75,True,1,
pl_013,personal_life,2,commute_duration,10 min,40 min,40 min,10 min,True,False,True,False,True,13,17,discovered_hard,5,15,5,0.4,1.0,True,5,
pl_014,personal_life,2,fitness_facility,Kaelstrom Fitness,Pyravar CrossFit,Pyravar CrossFit,Kaelstrom Fitness,True,False,True,False,True,4,17,discovered_hard,4,7,4,0.5714285714285714,1.0,True,2,
pl_021,personal_life,2,fitness_facility,Velthari Studio,Pyravar CrossFit,Pyravar CrossFit,Velthari Studio,True,False,True,False,True,8,17,discovered_hard,5,19,5,0.42105263157894735,1.0,True,2,
pl_023,personal_life,2,fitness_facility,home gym,Kaelstrom Fitness,Kaelstrom Fitness,home gym,True,False,True,False,True,4,19,discovered_hard,4,11,3,0.2727272727272727,0.75,True,1,
pl_025,personal_life,2,commute_method,bus,walking,walking,bus,True,False,True,False,True,11,16,discovered_hard,5,17,5,0.29411764705882354,1.0,True,7,
pl_028,personal_life,2,commute_duration,20 min,10 min,10 min,20 min,True,False,True,False,True,8,17,discovered_hard,5,13,5,0.38461538461538464,1.0,True,4,
pl_030,personal_life,2,commute_duration,10 min,10 min,10 min,around 10 min,True,True,True,True,True,8,19,discovered_hard,5,21,4,0.19047619047619047,0.8,True,1,
pl_031,personal_life,2,fitness_facility,home gym,Pyravar CrossFit,Pyravar CrossFit,home gym,True,False,True,False,True,4,15,discovered_hard,4,13,4,0.3076923076923077,1.0,True,1,
pl_033,personal_life,2,favorite_restaurant,Velmara Taqueria,Lorwen & Sage,Lorwen & Sage,Velmara Taqueria,True,False,True,False,True,14,17,discovered_hard,5,23,5,0.34782608695652173,1.0,True,2,
pl_034,personal_life,2,fitness_facility,Pyravar CrossFit,Kaelstrom Fitness,Kaelstrom Fitness,Pyravar CrossFit,True,False,True,False,True,4,16,discovered_hard,3,12,3,0.25,1.0,True,4,
pl_040,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,4,17,discovered_hard,4,12,3,0.25,0.75,True,2,
pl_041,personal_life,2,fitness_facility,Velthari Studio,Zorathel Peak Gym,Zorathel Peak Gym,Velthari Studio,True,False,True,False,True,4,15,discovered_hard,3,15,3,0.26666666666666666,1.0,True,2,
pl_042,personal_life,2,fitness_facility,none,Velthari Studio,Velthari Studio,running club and volleyball,True,False,False,False,False,9,17,discovered_hard,3,23,3,0.17391304347826086,1.0,True,6,
pl_044,personal_life,2,fitness_facility,Thandrel YMCA,Velthari Studio,Velthari Studio,Thandrel YMCA,True,False,True,False,True,7,17,discovered_hard,3,14,3,0.21428571428571427,1.0,True,2,
pl_046,personal_life,2,fitness_facility,Crysthene Pool,Pyravar CrossFit,Crysthene Pool,Crysthene Pool,True,True,True,True,True,5,19,discovered_hard,4,12,4,0.3333333333333333,1.0,True,2,
pl_047,personal_life,2,commute_duration,1.5 hours,1 hour,1 hour,1.5 hours,True,False,True,False,True,7,18,discovered_hard,4,15,4,0.26666666666666666,1.0,True,3,
pl_048,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Velthari Studio,Kaelstrom Fitness,True,False,True,False,True,8,15,discovered_hard,4,26,4,0.19230769230769232,1.0,True,1,
pl_049,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Velthari Studio,Kaelstrom Fitness,True,False,True,False,True,6,19,discovered_hard,5,14,5,0.35714285714285715,1.0,True,2,
sw_001,software_project,2,build_command,quorix forge --target prod,zelthra pack --sourcemap,zelthra pack --sourcemap,quorix forge --target prod,True,False,True,False,True,5,18,discovered_hard,4,10,4,0.4,1.0,True,7,
sw_002,software_project,2,dockerfile_path,deploy/Dockerfile.zephyra,deploy/Dockerfile.korinth,deploy/Dockerfile.korinth,deploy/Dockerfile.korinth,True,False,False,False,False,7,12,discovered_hard,5,9,5,0.5555555555555556,1.0,True,6,
sw_003,software_project,2,deploy_command,narvex deploy --env prod,"```
thandrel ship --channel beta
What would you like to do next?
```","```
thandrel ship --channel beta
What would you like to do next?
```","```
narvex deploy --env prod
What would you like to do next?
```",True,False,True,False,True,8,17,discovered_hard,5,11,5,0.5454545454545454,1.0,True,6,
sw_005,software_project,2,deploy_command,orinthal publish --tier sandbox,narvex deploy --env prod,narvex deploy --env prod,orinthal publish --tier sandbox,True,False,True,False,True,10,16,discovered_hard,5,11,5,0.6363636363636364,1.0,True,6,
sw_007,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Crysthene.define('Model', {fields})","Thalnex.document('Model', {fields})",False,False,True,False,False,7,17,discovered_hard,3,6,3,0.6666666666666666,1.0,True,5,
sw_008,software_project,2,middleware_config,phalanx-key-guard v1.3,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,phalanx-key-guard v1.3,True,False,True,False,True,7,17,discovered_hard,4,9,4,0.5555555555555556,1.0,True,5,
sw_009,software_project,2,deploy_command,zephyra push --target preview,korinth release --canary,korinth release --canary,zephyra push --target preview,True,False,True,False,True,5,13,discovered_hard,4,8,4,0.625,1.0,True,2,
sw_010,software_project,2,deploy_command,thandrel ship --channel beta,zephyra push --target preview,zephyra push --target preview,thandrel ship --channel beta,True,False,True,False,True,8,15,discovered_hard,4,8,4,0.625,1.0,True,6,
sw_011,software_project,2,test_command,quorix spec --run smoke,karnex test --watch,karnex test --watch,quorix spec --run smoke,True,False,True,False,True,10,16,discovered_hard,5,11,5,0.6363636363636364,1.0,True,2,
