episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,raw_dialogue,n_superseded,error
sw_015,software_project,1,monitoring_url,metrics.thandrel.io/aurora-prod,status.orinthal.dev/aurora,status.orinthal.dev/aurora,status.orinthal.dev/aurora,True,False,False,False,False,27,14,discovered_hard,5,35,3,0.14285714285714285,0.6,True,6,
sw_019,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,29,14,discovered_hard,5,31,1,0.03225806451612903,0.2,True,7,
pl_008,personal_life,2,commute_method,bus,You walk to work.,Walk.,Scooter or bus.,True,False,False,False,False,16,18,discovered_hard,5,37,3,0.10810810810810811,0.6,True,6,
pl_047,personal_life,1,job_title,product manager,Designer,Designer,Product manager,True,False,True,False,True,12,18,discovered_hard,4,33,4,0.15151515151515152,1.0,True,4,
sw_032,software_project,2,middleware_config,verithos-pkce-guard v1.4,kryptal-bearer-check v2.2,verithos-pkce-guard v1.4,verithos-pkce-guard v1.4,True,True,True,True,True,22,13,discovered_hard,4,28,2,0.10714285714285714,0.5,True,4,
sw_029,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Keldaris.object('Model', props)","Thalnex.document('Model', {fields})",False,False,True,False,False,21,19,discovered_hard,4,24,3,0.20833333333333334,0.75,True,3,
sw_017,software_project,2,middleware_config,cerberix-sso-bridge v1.9,phalanx-key-guard v1.3,cerberix-sso-bridge v1.9,cerberix-sso-bridge v1.9,True,True,True,True,True,20,14,discovered_hard,3,30,2,0.1,0.6666666666666666,True,7,
sw_003,software_project,1,log_drain_endpoint,sink.orinthal.dev/aurora,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,drain.zephyra.io/proj-42,True,False,False,False,False,13,17,discovered_hard,5,23,0,0.0,0.0,True,3,
sw_028,software_project,2,deploy_command,zephyra push --target prod,korinth release --prod,korinth release --prod,zephyra push --target prod,True,False,True,False,True,33,15,discovered_hard,5,31,3,0.16129032258064516,0.6,True,5,
sw_011,software_project,1,dev_server_command,moxira serve --hot,korvel dev --open,korvel dev --open,korvel dev --open,True,False,False,False,False,19,16,discovered_hard,5,22,4,0.2727272727272727,0.8,True,10,
sw_043,software_project,1,connection_string,thalnex://store-prod:8529/aurora,thalnex://store-backup:8529/aurora,thalnex://store-prod:8529/aurora,thalnex://store-prod:8529/aurora,True,True,True,True,True,23,15,discovered_hard,4,26,3,0.15384615384615385,0.75,True,3,
pl_040,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Swimming 2x/week,Pyravar CrossFit,False,False,True,False,False,35,17,discovered_hard,4,41,1,0.07317073170731707,0.25,True,8,
sw_032,software_project,1,token_format,Oathkeeper-mTLS-cert,Cerberix-SAML-assertion,Cerberix-SAML-assertion,Verithos Auth.,True,False,False,False,False,12,13,discovered_hard,4,23,2,0.17391304347826086,0.5,True,3,
pl_026,personal_life,1,commute_method,subway,Bike,Bike,Bike,True,False,False,False,False,5,18,discovered_hard,2,32,1,0.0625,0.5,True,3,
pl_050,personal_life,1,fitness_facility,Zorathel Peak Gym,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,True,False,False,False,False,11,16,discovered_hard,2,25,1,0.04,0.5,True,3,
pl_018,personal_life,1,commute_method,commuter rail,Walk.,You walk.,Walk.,True,False,False,False,False,4,18,discovered_hard,2,31,1,0.03225806451612903,0.5,True,3,
sw_048,software_project,1,login_endpoint,/auth/kryptal/signin,/cerberix/saml/sso-init,/cerberix/saml/sso-init,/cerberix/saml/sso-init,True,False,False,False,False,25,16,discovered_hard,3,22,1,0.045454545454545456,0.3333333333333333,True,9,
pl_046,personal_life,1,dietary_restriction,nut-free,,,,False,False,False,False,False,0,0,discovered_hard,0,0,0,,,False,,ReadTimeout: 
sw_036,software_project,1,docker_image,korinth-repo/aurora:stable,narvex-registry/aurora:latest,narvex-registry/aurora:latest,narvex-registry/aurora:latest,True,False,False,False,False,28,18,discovered_hard,5,26,1,0.038461538461538464,0.2,True,8,
sw_046,software_project,1,build_tool,Karnex Bundler,Tarvex CLI,Karnex Bundler,Karnex Bundler,True,True,True,True,True,18,14,discovered_hard,5,16,5,0.5625,1.0,True,7,
