episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_001,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,4,19,gold,4,4,4,1.0,1.0,
pl_006,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,4,20,gold,4,4,4,1.0,1.0,
pl_008,personal_life,2,commute_method,bus,Walking,Bus,Bus,True,True,True,True,True,5,18,gold,5,5,5,1.0,1.0,
pl_009,personal_life,2,fitness_facility,Crysthene Pool,Zorathel Peak Gym,Zorathel Peak Gym,Crysthene Pool,True,False,True,False,True,3,19,gold,3,3,3,1.0,1.0,
pl_011,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,3,15,gold,3,3,3,1.0,1.0,
pl_013,personal_life,2,commute_duration,10 min,40 min,40 min,Around 10 min,True,False,True,False,True,5,17,gold,5,5,5,1.0,1.0,
pl_014,personal_life,2,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,False,True,True,False,False,4,17,gold,4,4,4,1.0,1.0,
pl_021,personal_life,2,fitness_facility,Velthari Studio,Pyravar CrossFit,Pyravar CrossFit,Velthari Studio,True,False,True,False,True,5,17,gold,5,5,5,1.0,1.0,
pl_023,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,4,19,gold,4,4,4,1.0,1.0,
pl_025,personal_life,2,commute_method,bus,Walking,"By walking, unless changes occur.",Bus,True,False,True,False,True,5,16,gold,5,5,5,1.0,1.0,
pl_028,personal_life,2,commute_duration,20 min,10 min,10 min,20 min,True,False,True,False,True,5,17,gold,5,5,5,1.0,1.0,
pl_030,personal_life,2,commute_duration,10 min,10 min,10 min,10 min,True,True,True,True,True,4,19,gold,4,4,4,1.0,1.0,
pl_031,personal_life,2,fitness_facility,home gym,Home gym,Home gym,Home gym,False,True,True,False,False,4,15,gold,4,4,4,1.0,1.0,
pl_033,personal_life,2,favorite_restaurant,Velmara Taqueria,Lorwen & Sage,Lorwen & Sage,Velmara Taqueria,True,False,True,False,True,5,17,gold,5,5,5,1.0,1.0,
pl_034,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,3,16,gold,3,3,3,1.0,1.0,
pl_040,personal_life,2,fitness_facility,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,Pyravar CrossFit,False,True,True,False,False,3,17,gold,3,3,3,1.0,1.0,
pl_041,personal_life,2,fitness_facility,Velthari Studio,Velthari Studio,Velthari Studio,Velthari Studio,False,True,True,False,False,3,15,gold,3,3,3,1.0,1.0,
pl_042,personal_life,2,fitness_facility,none,None,None,none,False,True,True,False,False,3,17,gold,3,3,3,1.0,1.0,
pl_044,personal_life,2,fitness_facility,Thandrel YMCA,Thandrel YMCA,Thandrel YMCA,Thandrel YMCA,False,True,True,False,False,3,17,gold,3,3,3,1.0,1.0,
pl_046,personal_life,2,fitness_facility,Crysthene Pool,Crysthene Pool,Crysthene Pool,Crysthene Pool,False,True,True,False,False,4,19,gold,4,4,4,1.0,1.0,
pl_047,personal_life,2,commute_duration,1.5 hours,1 hour,1 hour,1.5 hours,True,False,True,False,True,4,18,gold,4,4,4,1.0,1.0,
pl_048,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Velthari Studio,Kaelstrom Fitness,True,False,True,False,True,4,15,gold,4,4,4,1.0,1.0,
pl_049,personal_life,2,fitness_facility,Kaelstrom Fitness,Velthari Studio,Velthari Studio,Kaelstrom Fitness,True,False,True,False,True,5,19,gold,5,5,5,1.0,1.0,
sw_001,software_project,2,build_command,quorix forge --target prod,zelthra pack --sourcemap,zelthra pack --sourcemap,quorix forge --target prod,True,False,True,False,True,3,18,gold,3,3,3,1.0,1.0,
sw_002,software_project,2,dockerfile_path,deploy/Dockerfile.zephyra,deploy/Dockerfile.korinth,deploy/Dockerfile.korinth,deploy/Dockerfile.zephyra,True,False,True,False,True,5,12,gold,5,5,5,1.0,1.0,
sw_003,software_project,2,deploy_command,narvex deploy --env prod,"```
thandrel ship --channel beta
What would you like to do next?
```","```
thandrel ship --channel beta
What would you like to do next?
```","```
narvex deploy --env prod
What would you like to do next?
```",True,False,True,False,True,4,17,gold,4,4,4,1.0,1.0,
sw_005,software_project,2,deploy_command,orinthal publish --tier sandbox,narvex deploy --env prod,narvex deploy --env prod,orinthal publish --tier sandbox,True,False,True,False,True,4,16,gold,4,4,4,1.0,1.0,
sw_007,software_project,2,model_syntax,"Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})","Thalnex.document('Model', {fields})",False,True,True,False,False,3,17,gold,3,3,3,1.0,1.0,
sw_008,software_project,2,middleware_config,phalanx-key-guard v1.3,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,phalanx-key-guard v1.3,True,False,True,False,True,4,17,gold,4,4,4,1.0,1.0,
sw_009,software_project,2,deploy_command,zephyra push --target preview,korinth release --canary,korinth release --canary,zephyra push --target preview,True,False,True,False,True,4,13,gold,4,4,4,1.0,1.0,
sw_010,software_project,2,deploy_command,thandrel ship --channel beta,zephyra push --target preview,zephyra push --target preview,thandrel ship --channel beta,True,False,True,False,True,4,15,gold,4,4,4,1.0,1.0,
sw_011,software_project,2,test_command,quorix spec --run smoke,karnex test --watch,karnex test --watch,quorix spec --run smoke,True,False,True,False,True,5,16,gold,5,5,5,1.0,1.0,
sw_012,software_project,2,model_syntax,"Vorathis.collection('Model', spec)","Vorathis.collection('Model', spec)","Pyravar.entity('Model', attrs)","Vorathis.collection('Model', spec)",False,False,True,False,False,3,15,gold,3,3,3,1.0,1.0,
sw_013,software_project,2,middleware_config,oathkeeper-cert-check v3.2,verithos-oauth-middleware v2.1,verithos-oauth-middleware v2.1,oathkeeper-cert-check v3.2,True,False,True,False,True,3,14,gold,3,3,3,1.0,1.0,
sw_015,software_project,2,deploy_command,thandrel ship --channel beta,narvex deploy --env prod,narvex deploy --env prod,thandrel ship --channel beta,True,False,True,False,True,4,14,gold,4,4,4,1.0,1.0,
sw_016,software_project,2,build_command,tarvex compile --debug,pyronis pack --optimize,pyronis pack --optimize,tarvex compile --debug,True,False,True,False,True,3,13,gold,3,3,3,1.0,1.0,
sw_017,software_project,2,middleware_config,cerberix-sso-bridge v1.9,phalanx-key-guard v1.3,phalanx-key-guard v1.3,cerberix-sso-bridge v1.9,True,False,True,False,True,3,14,gold,3,3,3,1.0,1.0,
