episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,error
pl_001,personal_life,1,medication,multivitamin,Quelmithin,Quelmithin,UNDERSTOOD,True,False,False,False,False,13,19,discovered,4,13,4,0.3076923076923077,1.0,
pl_002,personal_life,1,commute_duration,10 min,1.5 hours,1.5 hours,Not provided.,True,False,False,False,False,3,20,discovered,2,3,2,0.6666666666666666,1.0,
pl_003,personal_life,1,fitness_facility,Kaelstrom Fitness,Kaelstrom Fitness,Kaelstrom Fitness,Laugh Out Loud,False,True,False,False,False,5,20,discovered,2,5,2,0.4,1.0,
pl_004,personal_life,1,travel_plan,island getaway,No travel planned.,No travel planned.,Memorial service for grandmother,True,False,False,False,False,4,17,discovered,2,4,2,0.5,1.0,
pl_005,personal_life,1,financial_goal,saving for kids' education fund,Paying off credit card debt,Paying off credit card debt,Saving for kids' education fund.,True,False,True,False,True,2,21,discovered,2,3,2,0.6666666666666666,1.0,
pl_006,personal_life,1,regular_appointment,physical therapy (2x/week),"Physical therapy (2x/week), dermatologist (monthly)","Physical therapy (2x/week), dermatologist (monthly)",None,True,True,False,True,False,11,20,discovered,4,11,4,0.36363636363636365,1.0,
pl_007,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","Therapy (weekly), dermatologist (monthly)",None mentioned.,True,True,False,True,False,3,21,discovered,2,3,2,0.6666666666666666,1.0,
pl_008,personal_life,1,work_project,marketing campaign,Backend migration,Backend migration,Interactive dinosaur encyclopaedia.,True,False,False,False,False,11,18,discovered,5,11,5,0.45454545454545453,1.0,
pl_009,personal_life,1,dietary_restriction,no alcohol,Low-sodium,Low-sodium,Not specified.,True,False,False,False,False,9,19,discovered,3,9,3,0.3333333333333333,1.0,
pl_010,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Mountain ski trip,Mountain ski trip,None,True,False,False,False,False,3,18,discovered,2,3,2,0.6666666666666666,1.0,
pl_011,personal_life,1,regular_appointment,therapy (weekly),"Therapy (weekly), dermatologist (monthly)","Therapy (weekly), dermatologist (monthly)",None mentioned.,True,True,False,True,False,11,15,discovered,3,11,3,0.2727272727272727,1.0,
pl_012,personal_life,1,living_arrangement,with partner,Alone,I live alone.,Not mentioned.,True,False,False,False,False,5,18,discovered,2,5,2,0.4,1.0,
pl_013,personal_life,1,work_schedule,4-day work week,4-day work week,4-day work week,N/A,False,True,False,False,False,12,17,discovered,5,12,5,0.4166666666666667,1.0,
pl_014,personal_life,1,regular_appointment,dermatologist (monthly),"Dermatologist (monthly), Dentist (every 6 months)","Dermatologist (monthly), Dentist (every 6 months)",None provided.,True,True,False,True,False,12,17,discovered,4,12,4,0.3333333333333333,1.0,
pl_015,personal_life,1,living_arrangement,with sibling,Parents,Parents,Emma,True,False,False,False,False,3,16,discovered,2,3,2,0.6666666666666666,1.0,
pl_016,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),Cross-country road trip,Cross-country road trip,Road trip to the Pacific Coast Highway.,True,False,False,False,False,3,17,discovered,2,3,2,0.6666666666666666,1.0,
pl_017,personal_life,1,regular_appointment,chiropractor (biweekly),"Chiropractor (biweekly), physical therapy (2x/week)","Chiropractor (biweekly), Physical therapy (2x/week)",None mentioned.,True,True,False,True,False,3,22,discovered,2,3,2,0.6666666666666666,1.0,
